dt,euler_maruyama,midpoint,strong_taylor,splitting,stationary
0.001,1.826814E-05,2.010592E-05,1.85756E-05,2.010602E-05,2.01E-05
0.002,1.158206E-05,1.295246E-05,1.248494E-05,1.295284E-05,1.30E-05
0.005,9.47018E-06,8.13944E-06,9.22136E-06,8.14328E-06,8.14E-06
0.01,2.135566E-05,5.60224E-06,7.00426E-06,5.63554E-06,5.60E-06
0.02,4.890112E-05,4.72102E-06,5.4789E-06,4.79596E-06,4.73E-06
0.05,0.0001288752,3.7478E-06,4.82418E-06,4.37652E-06,3.77E-06
0.1,0.0002596504,5.26414E-06,7.35736E-06,9.91626E-06,5.21E-06
0.2,0.0005252974,1.77126E-05,2.220254E-05,3.894802E-05,1.76E-05
0.5,0.001341931,9.465382E-05,9.68543E-05,0.0002236721,9.26E-05
1,0.002718814,0.000291338,0.0001910957,0.0007661388,2.73E-04
